Step,Balance,Shares Held,Net Worth,Profit
1,10000,0,10000.0,0.0
2,231.6,40.0,10000.0,0.0
3,231.6,40.0,10327.2,327.2
4,231.6,40.0,10406.8,406.8
5,231.6,40.0,10502.4,502.4
6,231.6,40.0,10550.4,550.4
7,231.6,40.0,10586.8,586.8
8,10590.8,0,10590.8,590.8
9,37.4,41.0,10590.8,590.8
10,37.4,41.0,10711.75,711.75
11,10737.58,0,10737.58,737.58
12,219.18,40.0,10737.58,737.58
13,219.18,40.0,10877.58,877.58
14,219.18,40.0,10733.58,733.58
15,219.18,40.0,10755.58,755.58
16,219.18,40.0,10761.18,761.18
17,219.18,40.0,10850.38,850.38
18,10769.58,0,10769.58,769.58
19,233.18,40.0,10769.58,769.58
20,233.18,40.0,10936.38,936.38
21,11030.38,0,11030.38,1030.38
22,227.98,40.0,11030.38,1030.38
23,11106.38,0,11106.38,1106.38
24,182.38,40.0,11106.38,1106.38
25,11091.98,0,11091.98,1091.98
26,11091.98,0,11091.98,1091.98
27,11091.98,0,11091.98,1091.98
28,11091.98,0,11091.98,1091.98
29,11091.98,0,11091.98,1091.98
30,92.38,40.0,11091.98,1091.98
31,92.38,40.0,11067.58,1067.58
32,92.38,40.0,11187.18,1187.18
33,11206.38,0,11206.38,1206.38
34,69.98,40.0,11206.38,1206.38
35,69.98,40.0,11166.78,1166.78
36,69.98,40.0,11235.58,1235.58
37,11250.78,0,11250.78,1250.78
38,11250.78,0,11250.78,1250.78
39,11250.78,0,11250.78,1250.78
40,103.58,40.0,11250.78,1250.78
41,103.58,40.0,11320.38,1320.38
42,103.58,40.0,11279.58,1279.58
43,103.58,40.0,11264.38,1264.38
44,103.58,40.0,11196.78,1196.78
45,11103.98,0,11103.98,1103.98
46,125.58,40.0,11103.98,1103.98
47,125.58,40.0,11263.18,1263.18
48,125.58,40.0,11305.18,1305.18
49,11379.18,0,11379.18,1379.18
50,11379.18,0,11379.18,1379.18
51,11379.18,0,11379.18,1379.18
52,11379.18,0,11379.18,1379.18
53,11379.18,0,11379.18,1379.18
54,117.18,40.0,11379.18,1379.18
55,117.18,40.0,11506.38,1506.38
56,11287.18,0,11287.18,1287.18
57,125.58,40.0,11287.18,1287.18
58,125.58,40.0,11370.38,1370.38
59,11311.58,0,11311.58,1311.58
60,11311.58,0,11311.58,1311.58
61,11311.58,0,11311.58,1311.58
62,164.21,39.0,11311.58,1311.58
63,164.21,39.0,11317.04,1317.04
64,164.21,39.0,11334.59,1334.59
65,11364.23,0,11364.23,1364.23
66,110.0,39.0,11364.23,1364.23
67,110.0,39.0,11372.81,1372.81
68,110.0,39.0,11315.09,1315.09
69,110.0,39.0,11353.31,1353.31
70,11350.19,0,11350.19,1350.19
71,33.95,39.0,11350.19,1350.19
72,11342.78,0,11342.78,1342.78
73,26.54,39.0,11342.78,1342.78
74,26.54,39.0,11315.09,1315.09
75,26.54,39.0,11337.32,1337.32
76,26.54,39.0,11347.07,1347.07
77,26.54,39.0,11448.86,1448.86
78,26.54,39.0,11423.51,1423.51
79,26.54,39.0,11416.49,1416.49
80,26.54,39.0,11469.53,1469.53
81,11487.47,0,11487.47,1487.47
82,11487.47,0,11487.47,1487.47
83,11487.47,0,11487.47,1487.47
84,11487.47,0,11487.47,1487.47
85,20.3,39.0,11487.47,1487.47
86,11440.28,0,11440.28,1440.28
87,11440.28,0,11440.28,1440.28
88,11440.28,0,11440.28,1440.28
89,11440.28,0,11440.28,1440.28
90,11440.28,0,11440.28,1440.28
91,11440.28,0,11440.28,1440.28
92,11440.28,0,11440.28,1440.28
93,37.88,40.0,11440.28,1440.28
94,37.88,40.0,11545.88,1545.88
95,37.88,40.0,11471.48,1471.48
96,37.88,40.0,11395.88,1395.88
97,37.88,40.0,11498.28,1498.28
98,37.88,40.0,11463.08,1463.08
99,37.88,40.0,11323.48,1323.48
100,37.88,40.0,11349.08,1349.08
101,37.88,40.0,11243.88,1243.88
102,11168.68,0,11168.68,1168.68
103,7.48,40.0,11168.68,1168.68
104,7.48,40.0,11018.28,1018.28
105,7.48,40.0,10990.28,990.28
106,7.48,40.0,11228.68,1228.68
107,7.48,40.0,11325.88,1325.88
108,7.48,40.0,11399.48,1399.48
109,11513.48,0,11513.48,1513.48
110,11513.48,0,11513.48,1513.48
111,246.38,39.0,11513.48,1513.48
112,246.38,39.0,11493.59,1493.59
113,246.38,39.0,11540.0,1540.0
114,246.38,39.0,11527.52,1527.52
115,11531.81,0,11531.81,1531.81
116,11531.81,0,11531.81,1531.81
117,11531.81,0,11531.81,1531.81
118,11531.81,0,11531.81,1531.81
119,65.81,39.0,11531.81,1531.81
120,65.81,39.0,11517.77,1517.77
121,11405.45,0,11405.45,1405.45
